DATE,NASDAQCOM
4/19/18,7238.055
4/20/18,7146.125
4/23/18,7128.602
4/24/18,7007.352
4/25/18,7003.738
4/26/18,7118.676
4/27/18,7119.801
4/30/18,7066.266
5/1/18,7130.703
5/2/18,7100.898
5/3/18,7088.152
5/4/18,7209.617
5/7/18,7265.211
5/8/18,7266.902
5/9/18,7339.906
5/10/18,7404.977
5/11/18,7402.883
5/14/18,7411.316
5/15/18,7351.629
5/16/18,7398.297
5/17/18,7382.473
5/18/18,7354.34
5/21/18,7394.035
5/22/18,7378.457
5/23/18,7425.957
5/24/18,7424.43
5/25/18,7433.855
5/28/18,.
5/29/18,7396.594
5/30/18,7462.453
5/31/18,7442.117
6/1/18,7554.332
6/4/18,7606.461
6/5/18,7637.863
6/6/18,7689.242
6/7/18,7635.07
6/8/18,7645.512
6/11/18,7659.926
6/12/18,7703.793
6/13/18,7695.699
6/14/18,7761.043
6/15/18,7746.379
6/18/18,7747.023
6/19/18,7725.586
6/20/18,7781.516
6/21/18,7712.953
6/22/18,7692.816
6/25/18,7532.008
6/26/18,7561.625
6/27/18,7445.086
6/28/18,7503.684
6/29/18,7510.305
7/2/18,7567.688
7/3/18,7502.672
7/4/18,.
7/5/18,7586.426
7/6/18,7688.387
7/9/18,7756.203
7/10/18,7759.199
7/11/18,7716.613
7/12/18,7823.914
7/13/18,7825.977
7/16/18,7805.719
7/17/18,7855.117
7/18/18,7854.445
7/19/18,7825.297
7/20/18,7820.199
7/23/18,7841.871
7/24/18,7840.766
7/25/18,7932.238
7/26/18,7852.184
7/27/18,7737.418
7/30/18,7630.004
7/31/18,7671.789
8/1/18,7707.285
8/2/18,7802.684
8/3/18,7812.016
8/6/18,7859.68
8/7/18,7883.664
8/8/18,7888.324
8/9/18,7891.781
8/10/18,7839.109
8/13/18,7819.707
8/14/18,7870.895
8/15/18,7774.117
8/16/18,7806.523
8/17/18,7816.328
8/20/18,7821.008
8/21/18,7859.172
8/22/18,7889.098
8/23/18,7878.457
8/24/18,7945.977
8/27/18,8017.895
8/28/18,8030.039
8/29/18,8109.688
8/30/18,8088.363
8/31/18,8109.535
9/3/18,.
9/4/18,8091.246
9/5/18,7995.172
9/6/18,7922.727
9/7/18,7902.543
9/10/18,7924.16
9/11/18,7972.473
9/12/18,7954.23
9/13/18,8013.711
9/14/18,8010.043
9/17/18,7895.793
9/18/18,7956.105
9/19/18,7950.039
9/20/18,8028.23
9/21/18,7986.957
9/24/18,7993.25
9/25/18,8007.473
9/26/18,7990.367
9/27/18,8041.969
9/28/18,8046.352
10/1/18,8037.301
10/2/18,7999.547
10/3/18,8025.086
10/4/18,7879.512
10/5/18,7788.445
10/8/18,7735.949
10/9/18,7738.016
10/10/18,7422.051
10/11/18,7329.059
10/12/18,7496.895
10/15/18,7430.742
10/16/18,7645.488
10/17/18,7642.703
10/18/18,7485.141
10/19/18,7449.027
10/22/18,7468.629
10/23/18,7437.539
10/24/18,7108.402
10/25/18,7318.336
10/26/18,7167.211
10/29/18,7050.293
10/30/18,7161.648
10/31/18,7305.898
11/1/18,7434.059
11/2/18,7356.996
11/5/18,7328.852
11/6/18,7375.965
11/7/18,7570.754
11/8/18,7530.887
11/9/18,7406.902
11/12/18,7200.867
11/13/18,7200.875
11/14/18,7136.391
11/15/18,7259.031
11/16/18,7247.871
11/19/18,7028.477
11/20/18,6908.824
11/21/18,6972.25
11/22/18,.
11/23/18,6938.984
11/26/18,7081.852
11/27/18,7082.699
11/28/18,7291.594
11/29/18,7273.082
11/30/18,7330.535
12/3/18,7441.512
12/4/18,7158.426
12/5/18,.
12/6/18,7188.258
12/7/18,6969.254
12/10/18,7020.52
12/11/18,7031.832
12/12/18,7098.313
12/13/18,7070.336
12/14/18,6910.664
12/17/18,6753.734
12/18/18,6783.91
12/19/18,6636.828
12/20/18,6528.406
12/21/18,6332.996
12/24/18,6192.918
12/25/18,.
12/26/18,6554.355
12/27/18,6579.492
12/28/18,6584.523
12/31/18,6635.277
1/1/19,.
1/2/19,6665.938
1/3/19,6463.504
1/4/19,6738.855
1/7/19,6823.469
1/8/19,6897
1/9/19,6957.078
1/10/19,6986.066
1/11/19,6971.477
1/14/19,6905.914
1/15/19,7023.836
1/16/19,7034.691
1/17/19,7084.465
1/18/19,7157.227
1/21/19,.
1/22/19,7020.355
1/23/19,7025.766
1/24/19,7073.461
1/25/19,7164.863
1/28/19,7085.684
1/29/19,7028.289
1/30/19,7183.078
1/31/19,7281.738
2/1/19,7263.867
2/4/19,7347.535
2/5/19,7402.086
2/6/19,7375.281
2/7/19,7288.352
2/8/19,7298.199
2/11/19,7307.906
2/12/19,7414.617
2/13/19,7420.379
2/14/19,7426.953
2/15/19,7472.41
2/18/19,.
2/19/19,7486.766
2/20/19,7489.07
2/21/19,7459.707
2/22/19,7527.543
2/25/19,7554.461
2/26/19,7549.297
2/27/19,7554.508
2/28/19,7532.531
3/1/19,7595.352
3/4/19,7577.566
3/5/19,7576.359
3/6/19,7505.918
3/7/19,7421.465
3/8/19,7408.141
3/11/19,7558.063
3/12/19,7591.031
3/13/19,7643.406
3/14/19,7630.91
3/15/19,7688.527
3/18/19,7714.477
3/19/19,7723.945
3/20/19,7728.969
3/21/19,7838.961
3/22/19,7642.668
3/25/19,7637.543
3/26/19,7691.523
3/27/19,7643.379
3/28/19,7669.164
3/29/19,7729.32
4/1/19,7828.91
4/2/19,7848.688
4/3/19,7895.551
4/4/19,7891.785
4/5/19,7938.691
4/8/19,7953.883
4/9/19,7909.277
4/10/19,7964.242
4/11/19,7947.359
4/12/19,7984.164
4/15/19,7976.012
4/16/19,8000.227
4/17/19,7996.078
4/18/19,7998.063
4/19/19,7998.063
4/22/19,8015.266
4/23/19,8120.82
4/24/19,8102.016
4/25/19,8118.684
4/26/19,8146.398
4/29/19,8161.852
4/30/19,8095.387
5/1/19,8049.641
5/2/19,8036.773
5/3/19,8163.996
5/6/19,8123.289
5/7/19,7963.758
5/8/19,7943.32
5/9/19,7910.586
5/10/19,7916.941
5/13/19,7647.023
5/14/19,7734.492
5/15/19,7822.148
5/16/19,7898.047
5/17/19,7816.285
5/20/19,7702.375
5/21/19,7785.723
5/22/19,7750.844
5/23/19,7628.285
5/24/19,7637.008
5/27/19,.
5/28/19,7607.352
5/29/19,7547.309
5/30/19,7567.715
5/31/19,7453.148
6/3/19,7333.02
6/4/19,7527.117
6/5/19,7575.477
6/6/19,7615.555
6/7/19,7742.102
6/10/19,7823.168
6/11/19,7822.566
6/12/19,7792.719
6/13/19,7837.129
6/14/19,7796.66
6/17/19,7845.023
6/18/19,7953.883
6/19/19,7987.324
6/20/19,8051.34
6/21/19,8031.707
6/24/19,8005.695
6/25/19,7884.715
6/26/19,7909.973
6/27/19,7967.758
6/28/19,8006.242
7/1/19,8091.164
7/2/19,8109.094
7/3/19,8170.23
7/4/19,.
7/5/19,8161.789
7/8/19,8098.383
7/9/19,8141.727
7/10/19,8202.531
7/11/19,8196.043
7/12/19,8244.145
7/15/19,8258.184
7/16/19,8222.797
7/17/19,8185.207
7/18/19,8207.242
7/19/19,8146.488
7/22/19,8204.137
7/23/19,8251.402
7/24/19,8321.5
7/25/19,8238.539
7/26/19,8330.211
7/29/19,8293.328
7/30/19,8273.613
7/31/19,8175.418
8/1/19,8111.121
8/2/19,8004.074
8/5/19,7726.039
8/6/19,7833.266
8/7/19,7862.824
8/8/19,8039.156
8/9/19,7959.141
8/12/19,7863.41
8/13/19,8016.359
8/14/19,7773.938
8/15/19,7766.617
8/16/19,7895.992
8/19/19,8002.813
8/20/19,7948.559
8/21/19,8020.207
8/22/19,7991.387
8/23/19,7751.766
8/26/19,7853.734
8/27/19,7826.945
8/28/19,7856.883
8/29/19,7973.395
8/30/19,7962.883
9/2/19,.
9/3/19,7874.16
9/4/19,7976.879
9/5/19,8116.828
9/6/19,8103.074
9/9/19,8087.438
9/10/19,8084.156
9/11/19,8169.68
9/12/19,8194.469
9/13/19,8176.715
9/16/19,8153.543
9/17/19,8186.016
9/18/19,8177.391
9/19/19,8182.879
9/20/19,8117.676
9/23/19,8112.461
9/24/19,7993.625
9/25/19,8077.383
9/26/19,8030.66
9/27/19,7939.625
9/30/19,7999.34
10/1/19,7908.684
10/2/19,7785.246
10/3/19,7872.266
10/4/19,7982.473
10/7/19,7956.293
10/8/19,7823.777
10/9/19,7903.742
10/10/19,7950.781
10/11/19,8057.039
10/14/19,8048.648
10/15/19,8148.707
10/16/19,8124.184
10/17/19,8156.852
10/18/19,8089.543
10/21/19,8162.988
10/22/19,8104.297
10/23/19,8119.793
10/24/19,8185.797
10/25/19,8243.117
10/28/19,8325.984
10/29/19,8276.852
10/30/19,8303.977
10/31/19,8292.359
11/1/19,8386.398
11/4/19,8433.199
11/5/19,8434.68
11/6/19,8410.629
11/7/19,8434.516
11/8/19,8475.313
11/11/19,8464.277
11/12/19,8486.09
11/13/19,8482.102
11/14/19,8479.016
11/15/19,8540.828
11/18/19,8549.938
11/19/19,8570.656
11/20/19,8526.73
11/21/19,8506.211
11/22/19,8519.887
11/25/19,8632.488
11/26/19,8647.934
11/27/19,8705.176
11/28/19,.
11/29/19,8665.473
12/2/19,8567.988
12/3/19,8520.645
12/4/19,8566.672
12/5/19,8570.703
12/6/19,8656.527
12/9/19,8621.828
12/10/19,8616.184
12/11/19,8654.051
12/12/19,8717.316
12/13/19,8734.879
12/16/19,8814.227
12/17/19,8823.355
12/18/19,8827.734
12/19/19,8887.219
12/20/19,8924.957
12/23/19,8945.648
12/24/19,8952.883
12/25/19,.
12/26/19,9022.391
12/27/19,9006.617
12/30/19,8945.992
12/31/19,8972.605
1/1/20,.
1/2/20,9092.188
1/3/20,9020.77
1/6/20,9071.465
1/7/20,9068.582
1/8/20,9129.242
1/9/20,9203.426
1/10/20,9178.859
1/13/20,9273.934
1/14/20,9251.328
1/15/20,9258.695
1/16/20,9357.133
1/17/20,9388.945
1/20/20,.
1/21/20,9370.809
1/22/20,9383.77
1/23/20,9402.477
1/24/20,9314.91
1/27/20,9139.309
1/28/20,9269.68
1/29/20,9275.164
1/30/20,9298.934
1/31/20,9150.938
2/3/20,9273.402
2/4/20,9467.973
2/5/20,9508.684
2/6/20,9572.152
2/7/20,9520.512
2/10/20,9628.391
2/11/20,9638.941
2/12/20,9725.961
2/13/20,9711.969
2/14/20,9731.176
2/17/20,.
2/18/20,9732.742
2/19/20,9817.18
2/20/20,9750.965
2/21/20,9576.59
2/24/20,9221.281
2/25/20,8965.613
2/26/20,8980.773
2/27/20,8566.48
2/28/20,8567.367
3/2/20,8952.164
3/3/20,8684.09
3/4/20,9018.09
3/5/20,8738.594
3/6/20,8575.617
3/9/20,7950.676
3/10/20,8344.254
3/11/20,7952.051
3/12/20,7201.801
3/13/20,7874.875
3/16/20,6904.594
3/17/20,7334.781
3/18/20,6989.844
3/19/20,7150.578
3/20/20,6879.516
3/23/20,6860.672
3/24/20,7417.855
3/25/20,7384.297
3/26/20,7797.535
3/27/20,7502.379
3/30/20,7774.152
3/31/20,7700.098
4/1/20,7360.582
4/2/20,7487.313
4/3/20,7373.082
4/6/20,7913.238
4/7/20,7887.258
4/8/20,8090.902
4/9/20,8153.574
4/10/20,.
4/13/20,8192.426
4/14/20,8515.742
4/15/20,8393.176
4/16/20,8532.363
4/17/20,8650.141
4/20/20,8560.727
4/21/20,8263.23
4/22/20,8495.379
4/23/20,8494.754
4/24/20,8634.52
4/27/20,8730.164
4/28/20,8607.73
4/29/20,8914.711
4/30/20,8889.551
5/1/20,8604.949
5/4/20,8710.715
5/5/20,8809.121
5/6/20,8854.387
5/7/20,8979.66
5/8/20,9121.32
5/11/20,9192.344
5/12/20,9002.551
5/13/20,8863.168
5/14/20,8943.723
5/15/20,9014.559
5/18/20,9234.828
5/19/20,9185.105
5/20/20,9375.777
5/21/20,9284.883
5/22/20,9324.586
5/25/20,.
5/26/20,9340.219
5/27/20,9412.359
5/28/20,9368.988
5/29/20,9489.871
6/1/20,9552.051
6/2/20,9608.375
6/3/20,9682.91
6/4/20,9615.813
6/5/20,9814.082
6/8/20,9924.746
6/9/20,9953.754
6/10/20,10020.348
6/11/20,9492.727
6/12/20,9588.809
6/15/20,9726.023
6/16/20,9895.867
6/17/20,9910.531
6/18/20,9943.051
6/19/20,9946.125
6/22/20,10056.477
6/23/20,10131.367
6/24/20,9909.164
6/25/20,10017.004
6/26/20,9757.219
6/29/20,9874.152
6/30/20,10058.766
7/1/20,10154.629
7/2/20,10207.629
7/3/20,.
7/6/20,10433.648
7/7/20,10343.887
7/8/20,10492.5
7/9/20,10547.75
7/10/20,10617.445
7/13/20,10390.844
7/14/20,10488.578
7/15/20,10550.492
7/16/20,10473.828
7/17/20,10503.191
7/20/20,10767.094
7/21/20,10680.363
7/22/20,10706.129
7/23/20,10461.418
7/24/20,10363.176
7/27/20,10536.266
7/28/20,10402.09
7/29/20,10542.941
7/30/20,10587.813
7/31/20,10745.273
8/3/20,10902.797
8/4/20,10941.164
8/5/20,10998.398
8/6/20,11108.07
8/7/20,11010.984
8/10/20,10968.355
8/11/20,10782.824
8/12/20,11012.238
8/13/20,11042.504
8/14/20,11019.301
8/17/20,11129.727
8/18/20,11210.844
8/19/20,11146.461
8/20/20,11264.953
8/21/20,11311.801
8/24/20,11379.719
8/25/20,11466.473
8/26/20,11665.059
8/27/20,11625.336
8/28/20,11695.633
8/31/20,11775.457
9/1/20,11939.668
9/2/20,12056.441
9/3/20,11458.102
9/4/20,11313.133
9/7/20,.
9/8/20,10847.691
9/9/20,11141.563
9/10/20,10919.594
9/11/20,10853.547
9/14/20,11056.652
9/15/20,11190.324
9/16/20,11050.469
9/17/20,10910.277
9/18/20,10793.281
9/21/20,10778.797
9/22/20,10963.637
9/23/20,10632.98535